timestamp_ns,asset_id,bid_price,ask_price,bid_size,ask_size,trade_volume
1000000001000000,1,99.8171,100.0969,202,535,92
1000000003000000,1,99.8500,100.1100,370,206,0
1000000006000000,1,99.8900,100.0300,171,800,0
1000000010000000,1,99.8241,100.0839,120,714,0
1000000015000000,1,99.7871,100.0669,221,566,0
1000000021000000,1,99.8171,100.0169,314,430,0
1000000028000000,1,99.8890,100.0290,558,187,0
1000000036000000,1,99.9160,100.0760,472,199,0
1000000045000000,1,99.8330,100.1130,971,763,0
1000000055000000,1,99.8930,100.0330,230,761,0
1000000056000000,1,99.7761,100.0559,408,869,87
1000000058000000,1,99.7552,99.9948,591,513,0
1000000061000000,1,99.8051,99.9649,905,485,0
1000000065000000,1,99.8041,100.0639,291,376,0
1000000070000000,1,99.8001,99.9999,260,559,0
1000000076000000,1,99.8371,100.0569,413,121,0
1000000083000000,1,99.7891,100.0289,352,847,0
1000000091000000,1,99.7891,99.9489,956,660,0
1000000100000000,1,99.7581,100.0379,574,158,0
1000000110000000,1,99.8670,99.9870,610,781,0
1000000111000000,1,99.8740,100.0140,575,799,79
1000000113000000,1,99.8770,100.0970,882,289,0
1000000116000000,1,99.9220,100.1220,786,662,0
1000000120000000,1,99.9400,100.0600,975,666,0
1000000125000000,1,99.9239,100.1641,343,931,0
1000000131000000,1,99.9150,100.0750,604,230,0
1000000138000000,1,99.8630,100.0430,584,918,0
1000000146000000,1,99.9210,100.0210,746,120,0
1000000155000000,1,99.8351,100.0549,940,266,0
1000000165000000,1,99.8451,100.0049,373,487,0
1000000166000000,1,99.7871,100.0069,700,415,13
1000000168000000,1,99.8061,99.9859,341,876,0
1000000171000000,1,99.7671,99.9269,445,664,0
1000000175000000,1,99.7442,100.0038,997,439,0
1000000180000000,1,99.7721,99.9319,191,466,0
1000000186000000,1,99.8401,99.9599,554,527,0
1000000193000000,1,99.8051,99.9649,608,875,0
1000000201000000,1,99.8101,99.9899,134,305,0
1000000210000000,1,99.8031,100.0229,180,661,0
1000000220000000,1,99.7482,100.0278,971,487,0
1000000221000000,1,99.7631,99.9429,101,489,53
1000000223000000,1,99.7721,99.8919,205,871,0
1000000226000000,1,99.6992,99.8988,921,576,0
1000000230000000,1,99.6642,99.8438,802,501,0
1000000235000000,1,99.6253,99.8847,829,655,0
1000000241000000,1,99.7132,99.8728,261,301,0
1000000248000000,1,99.6782,99.8178,369,962,0
1000000256000000,1,99.6403,99.8597,915,370,0
1000000265000000,1,99.5963,99.8357,555,561,0
